"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Tiny Autoscalers for Tiny Workloads: Dynamic CPU Allocation for Serverless Functions","Y. Zhao; A. Uta","LIACS, Leiden University; LIACS, Leiden University","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","170","179","In serverless computing, applications are executed under lightweight virtualization and isolation environments, such as containers or micro virtual machines. Typically, their memory allocation is set by the user before deployment. All other resources, such as CPU, are allocated by the provider statically and proportionally to memory allocations. This contributes to either under-utilization or throttling. The former significantly impacts the provider, while the latter impacts the client. To solve this problem and accommodate both clients and providers, a solution is dynamic CPU allocation achieved through autoscaling. Autoscaling has been investigated for long-running applications using history-based techniques and prediction. However, serverless applications are short-running workloads, where such techniques are not well suited. In this paper, we investigate tiny autoscalers and how dy-namic CPU allocation techniques perform for short-running serverless workloads. We experiment with Kubernetes as the underlying platform and implement using its vertical pod au-toscaler several dynamic CPU rightsizing techniques. We compare these techniques using state-of-the-art serverless workloads. Our experiments show that dynamic CPU allocation for short-running serverless functions is feasible and can be achieved with lightweight algorithms that offer good performance.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00026","Dutch National Science Foundation(grant numbers:VI.202.195); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825916","","Runtime;Heuristic algorithms;Serverless computing;Clustering algorithms;Containers;Dynamic scheduling;Virtual machining","","9","","56","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"DSServe - Data Science using Serverless","D. Patel; S. Lin; J. Kalagnanam","IBM TJ Watson Research Center, NY, USA; IBM TJ Watson Research Center, NY, USA; IBM TJ Watson Research Center, NY, USA",2022 IEEE International Conference on Big Data (Big Data),"26 Jan 2023","2022","","","2343","2345","AI Applications uses various data science tools such as Jupyter notebook to prescribe a series of steps, commonly referred as workflow, for building AI Solutions. The steps in workflow can be as simple as loading the data from remote storage, visualize the data for better understanding or conducting data quality study, or it can be as complex as generating features for modeling, best model discovery processes, etc. Clearly, different steps of the data science workflow has varying requirement of compute resources. Moreover, the execution of steps in workflow are Adhoc and Subjective. With wider availability of various Serverless technology, in this paper, we demonstrate a generalized framework that can be used to provide on demand scale out capability for the Data Science Workflow. In particular, we selected the most common AI operation, namely Automatic Model Selection, as an example to demonstrate benefits of serverless computing. We conducted a detailed experimental results using IBM Code Engine technology to validate the benefits of our proposed approach.","","978-1-6654-8045-1","10.1109/BigData55660.2022.10020441","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10020441","","Computational modeling;Loading;Serverless computing;Data visualization;Data science;Big Data;Data models","","","","26","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"RightFusion: Enabling QoS driven Function Fusion in Edge-Cloud FaaS","K. R. Sheshadri; J. Lakshmi","Cloud Systems Lab, Indian Institute of Science, Bangalore, INDIA; Cloud Systems Lab, Indian Institute of Science, Bangalore, INDIA",2024 IEEE International Conference on Cloud Engineering (IC2E),"14 Nov 2024","2024","","","160","167","Function-as-a-Service (FaaS), a form of serverless computing, allows applications to be composed as a workflow of stateless, event-driven, short-lived functions that are deployed automatically by the service provider. FaaS has its origins in the Cloud, but recently, it has seen considerable adoption in the Edge-Computing too. FaaS exhibits significant overheads between invocations of consecutive functions and function fusion is being used to resolve these. The fused function groups are assigned the highest resource of all the functions in the fusion group and are limited by the fixed resource sizes associated with the functions; this translates to high function execution costs. In this trade-off, the function size and execution time, which is associated with input size and user-performance expectation, are not considered for fusion decisions on Heterogeneous resources. In this paper, we present ‘RightFusion”, a novel fusion technique that performs function-fusion on an Edge-Cloud resource pool based on application input and QoS requirements. The platform right-sizes resource instances and performs cost-efficient function fusion while meeting the QoS requirements. It also exploits heterogeneous resource cost difference to choose resources for fused functions deployment. Evaluations based on a diverse range of applications show that RightFusion reduces resource usage by above $35 \%$ at Edge and Cloud while meeting the QoS requirements compared to the PeakFusion baseline.","2694-0825","979-8-3315-2869-0","10.1109/IC2E61754.2024.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749776","","Costs;Conferences;Serverless computing;Quality of service","","","","32","IEEE","14 Nov 2024","","","IEEE","IEEE Conferences"
"Serverless Big Data Processing using Matrix Multiplication as Example","S. Werner; J. Kuhlenkamp; M. Klems; J. Müller; S. Tai","ISE, TU, Berlin, Germany; ISE, TU, Berlin, Germany; WeAdvise AG, Munich, Germany; TU, Berlin, Germany; ISE, TU, Berlin, Germany",2018 IEEE International Conference on Big Data (Big Data),"24 Jan 2019","2018","","","358","365","Serverless computing, or Function-as-a-Service (FaaS), is emerging as a popular alternative model to on-demand cloud computing. Function services are executed by a FaaS provider; a client no longer uses cloud infrastructure directly as in traditional cloud consumption. Is serverless computing a feasible and beneficial approach to big data processing, regarding performance, scalability, and cost effectiveness? In this paper, we explore this research question using matrix multiplication as example. We define requirements for the design of serverless big data applications, present a prototype for matrix multiplication using FaaS, and discuss and synthesize insights from results of extensive experimentation. We show that serverless big data processing can lower operational and infrastructure costs without compromising system qualities; serverless computing can even outperform cluster-based distributed compute frameworks regarding performance and scalability.","","978-1-5386-5035-6","10.1109/BigData.2018.8622362","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622362","serverless;big data;cloud;matrix multiplication","Cloud computing;Scalability;FAA;Prototypes;Big Data applications;Task analysis","","30","","20","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"A Serverless Engine for High Energy Physics Distributed Analysis","J. Kuśnierz; V. E. Padulano; M. Malawski; K. Burkiewicz; E. T. Saavedra; P. Alonso-Jordá; M. Pitt; V. Avati","Institute of Computer Science, AGH, Kraków, Poland; EP-SFT, CERN, Geneva, Switzerland; Institute of Computer Science, AGH, Kraków, Poland; Institute of Computer Science, AGH, Kraków, Poland; Institute of Computer Science, AGH, Kraków, Poland; DSIC, UPV, Valencia, Spain; EP-CMG-OS, CERN, Geneva, Switzerland; EP-UHC, CERN, Geneva, Switzerland","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","575","584","The Large Hadron Collider (LHC) at CERN has generated in the last decade an unprecedented volume of data for the High-Energy Physics (HEP) field. Scientific collaborations interested in analysing such data very often require computing power beyond a single machine. This issue has been tackled traditionally by running analyses in distributed environments using stateful, managed batch computing systems. While this approach has been effective so far, current estimates for future computing needs of the field present large scaling challenges. Such a managed approach may not be the only viable way to tackle them and an interesting alternative could be provided by serverless architectures, to enable an even larger scaling potential. This work describes a novel approach to running real HEP scientific applications through a distributed serverless computing engine. The engine is built upon ROOT, a well-established HEP data analysis software, and distributes its computations to a large pool of concurrent executions on Amazon Web Services Lambda Serverless Platform. Thanks to the developed tool, physicists are able to access datasets stored at CERN (also those that are under restricted access policies) and process it on remote infrastructures outside of their typical environment. The analysis of the serverless functions is monitored at runtime to gather performance metrics, both for data- and computation-intensive workloads.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826036","Serverless;Distributed Computing;CERN;ROOT;HEP;MapReduce;AWS;Lambda","Codes;Runtime;Web services;Large Hadron Collider;Serverless computing;C++ languages;Computer architecture","","5","","40","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"Serverless Approach to Sensitivity Analysis of Computational Models","P. Kica; M. Otta; K. Czechowic; K. Zajac; P. Nowakowski; A. Narracott; I. Halliday; M. Malawski","Sano Centre for Computational Medicine, Kraków, Poland; Sano Centre for Computational Medicine, Kraków, Poland; Department of Infection, Immunity and Cardiovascular Disease, University of Sheffield, Sheffield, UK; Sano Centre for Computational Medicine, Kraków, Poland; Sano Centre for Computational Medicine, Kraków, Poland; Department of Infection, Immunity and Cardiovascular Disease, University of Sheffield, Sheffield, UK; Department of Infection, Immunity and Cardiovascular Disease, University of Sheffield, Sheffield, UK; Sano Centre for Computational Medicine, Kraków, Poland","2023 IEEE/ACM 23rd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","10 Jul 2023","2023","","","627","639","Digital twins are virtual representations of physical objects or systems used for the purpose of analysis, most often via computer simulations, in many engineering and scientific disciplines. Recently, this approach has been introduced to computational medicine, within the concept of Digital Twin in Healthcare (DTH). Such research requires verification and validation of its models, as well as the corresponding sensitivity analysis and uncertainty quantification (VVUQ). From the computing perspective, VVUQ is a computationally intensive process, as it requires numerous runs with variations of input parameters. Researchers often use high-performance computing (HPC) solutions to run VVUQ studies where the number of parameter combinations can easily reach tens of thousands. However, there is a viable alternative to HPC for a substantial subset of computational models - serverless computing. In this paper we hypothesize that using the serverless computing model can be a practical and efficient approach to selected cases of running VVUQ calculations. We show this on the example of the EasyVVUQ library, which we extend by providing support for many serverless services. The resulting library - CloudVVUQ - is evaluated using two real-world applications from the computational medicine domain adapted for serverless execution. Our experiments demonstrate the scalability of the proposed approach.","","979-8-3503-0119-9","10.1109/CCGrid57682.2023.00064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10171522","Serverless;Digital twins;Computational modeling;Sensitivity analysis;Distributed computing;Cloud computing;AWS;GCP;Lambda;High-Performance Computing","Analytical models;Uncertainty;Sensitivity analysis;Computational modeling;Scalability;Serverless computing;Libraries","","","","37","IEEE","10 Jul 2023","","","IEEE","IEEE Conferences"
"Exploring Serverless Computing for Neural Network Training","L. Feng; P. Kudva; D. Da Silva; J. Hu","Texas A&M University, College Station; IBM Research; Texas A&M University, College Station; Texas A&M University, College Station",2018 IEEE 11th International Conference on Cloud Computing (CLOUD),"11 Sep 2018","2018","","","334","341","Serverless or functions as a service runtimes have shown significant benefits to efficiency and cost for event-driven cloud applications. Although serverless runtimes are limited to applications requiring lightweight computation and memory, such as machine learning prediction and inference, they have shown improvements on these applications beyond other cloud runtimes. Training deep learning can be both compute and memory intensive. We investigate the use of serverless runtimes while leveraging data parallelism for large models, show the challenges and limitations due to the tightly coupled nature of such models, and propose modifications to the underlying runtime implementations that would mitigate them. For hyperparameter optimization of smaller deep learning models, we show that serverless runtimes can provide significant benefit.","2159-6190","978-1-5386-7235-8","10.1109/CLOUD.2018.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457817","serverless computing;cloud computing;deep learning;cloud scaling;cloud cost and performance","Servers;Training;Merging;Runtime;Neural networks;Data transfer;Machine learning","","59","","28","IEEE","11 Sep 2018","","","IEEE","IEEE Conferences"
"Amoeba: QoS-Awareness and Reduced Resource Usage of Microservices with Serverless Computing","Z. Li; Q. Chen; S. Xue; T. Ma; Y. Yang; Z. Song; M. Guo","Department of Computer Science and Engineering, Shanghai Jiao Tong University, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, China; Alibaba Cloud, China; Alibaba Cloud, China; Alibaba Cloud, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, China",2020 IEEE International Parallel and Distributed Processing Symposium (IPDPS),"14 Jul 2020","2020","","","399","408","While microservices that have stringent Quality-of-Service constraints are deployed in the Clouds, the long-term rented infrastructures that host the microservices are under-utilized except peak hours due to the diurnal load pattern. It is resource efficient for Cloud vendors and cost efficient for service maintainers to deploy the microservices in the long-term infrastructure at high load and in the serverless computing platform at low load. However, prior work fails to take advantage of the opportunity, because the contention between microservices on the serverless platform seriously affects their response latencies.Our investigation shows that the load of a microservice, the shared resource contentions on the serverless platform, and its sensitivities to the contention together affect the response latency of the microservice on the platform. To this end, we propose Amoeba, a runtime system that dynamically switches the deployment of a microservice. Amoeba is comprised of a contention-aware deployment controller, a hybrid execution engine, and a multi-resource contention monitor. The deployment controller predicts the tail latency of a microservice based on its load and the contention on the serverless platform, and determines the appropriate deployment of the microservice. The hybrid execution engine enables the quick switch of the two deploy modes. The contention monitor periodically quantifies the contention on multiple types of shared resources. Experimental results show that Amoeba is able to significantly reduce up to 72.9% of CPU usage and up to 84.9% of memory usage compared with the traditional pure IaaS-based deployment, while ensuring the required latency target.","1530-2075","978-1-7281-6876-0","10.1109/IPDPS47924.2020.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9139803","Serverless computing;Microservices;QoS","Quality of service;Benchmark testing;Containers;Cloud computing;Servers;Sensitivity;Runtime","","27","","31","IEEE","14 Jul 2020","","","IEEE","IEEE Conferences"
"Lambdata: Optimizing Serverless Computing by Making Data Intents Explicit","Y. Tang; J. Yang","Department of Computer Science, Columbia University, New York, NY, USA; Department of Computer Science, Columbia University, New York, NY, USA",2020 IEEE 13th International Conference on Cloud Computing (CLOUD),"18 Dec 2020","2020","","","294","303","Serverless computing emerges as a new paradigm to build cloud applications, in which developers write small functions that react to cloud infrastructure events, and cloud providers maintain all resources and schedule the functions in containers. Serverless computing thus enables developers to focus on their core business logic and leave server management and scaling to cloud providers. Unfortunately, existing serverless computing systems suffer from a key limitation that deprives them of enjoying significant speedups. Specifically, they treat each cloud function as a black box and are blind to which data the function reads or writes, therefore missing potentially huge optimization opportunities, such as caching data and colocating functions. We present Lambdata, a novel serverless computing system that enables developers to declare a cloud function's data intents, including both data read and data written. Once data intents are made explicit, Lambdata performs a variety of optimizations to improve speed, including caching data locally and scheduling functions based on code and data locality. Our evaluation of Lambdata shows that it achieves an average speedup of 1.51x on the turnaround time of practical workloads and reduces monetary cost by 16.5%.","2159-6190","978-1-7281-8780-8","10.1109/CLOUD49709.2020.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284203","serverless computing;cloud function;cloud storage","Cloud computing;Schedules;Scheduling algorithms;Conferences;Containers;Servers;Optimization","","16","","32","IEEE","18 Dec 2020","","","IEEE","IEEE Conferences"
"Fair, Efficient Multi-Resource Scheduling for Stateless Serverless Functions with Anubis","A. Samanta; R. Stutsman",University of Utah; University of Utah,"2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","8 Oct 2024","2024","","","106","112","Although serverless platforms have been extremely popular recently, certain kinds of applications are not well-supported by these platforms. For example, they work well for workloads that transform or aggregate bulk data but not for applications where predictable response times are crucial. These workloads have fine-grained tasks and stringent service level agreements (SLAs). Current serverless platforms’ overheads and resource contention lead to variable performance, making using them for real-time online applications impossible. We demonstrate Anubis, a new platform built on top of OpenWhisk, that helps meet SLAs for response-time-sensitive serverless workloads, even when multiple concurrent workloads compete for various resource types. Anubis’s approach centers on multi-resource fair queuing. Even as stateless functions compete for CPU, storage, and network resources, Anubis ensures each gets its fair share according to its dominant resource needs. We show that when various serverless workloads are intermixed, Anubis’s approach can reduce SLA violations by 15–34%, improving max-min fairness by 2× compared to competing scheduling policies.","2993-2114","979-8-3503-9566-2","10.1109/CCGrid59990.2024.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10701320","Serverless computing;resource management;scheduling;performance analysis","Cloud computing;Processor scheduling;Clustering algorithms;Transforms;Minimax techniques;Data aggregation;Real-time systems;Resource management;Time factors;Service level agreements","","","","59","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"Real-time task scheduling in a FaaS cloud","M. Szalay; P. Mátray; L. Toka","MTA-BME Network Softwarization Research Group, Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics; Ericsson Research; MTA-BME Network Softwarization Research Group, Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics",2021 IEEE 14th International Conference on Cloud Computing (CLOUD),"8 Nov 2021","2021","","","497","507","Today, Function-as-a-Service is the most promising concept of serverless cloud computing. It makes possible for developers to focus on application development without any system management effort: FaaS ensures resource allocation, fast response time, schedulability, scalability, resiliency, and upgrad-ability. Applications of 5G, IoT, and Industry 4.0 raise the idea to open cloud-edge computing infrastructures for time-critical applications too, i.e., there is a strong desire to pose real-time requirements for computing systems like FaaS. However, multinode systems make real-time scheduling significantly complex since guaranteeing real-time task execution is challenging even on one computing node with multi-core processors. In this paper, we present an analytical model and a heuristic partitioning scheduling algorithm for a partitioned scheduling system suitable for real-time FaaS platforms of multi-node clusters. We present the architecture of the envisioned real-time FaaS platform, emphasize its benefits and the requirements for the underlying network and nodes, and survey the related work that could meet these demands.","2159-6190","978-1-6654-0060-2","10.1109/CLOUD53861.2021.00065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582186","real-time scheduling;real-time cloud;real-time FaaS;partitioned scheduling;partitioned-EDF;heterogeneous multiprocessor;multi-node and multiprocessor system","Cloud computing;Job shop scheduling;Runtime;Scheduling algorithms;Scalability;FAA;Real-time systems","","5","","36","IEEE","8 Nov 2021","","","IEEE","IEEE Conferences"
"EMARS: Efficient Management and Allocation of Resources in Serverless","A. Saha; S. Jindal","School of Computing, University of Utah Salt, Lake City, USA; School of Computing, University of Utah Salt, Lake City, USA",2018 IEEE 11th International Conference on Cloud Computing (CLOUD),"11 Sep 2018","2018","","","827","830","We introduce EMARS, an efficient resource management system for serverless cloud computing frameworks with the goal to enhance resource (focus on memory) allocation among containers. We have built our prototype on top of an open-source serverless platform, OpenLambda. It is based upon application workloads and serverless functions' memory needs. As a background motivation we analyzed the latencies and memory requirements of functions running on AWS lambda. The memory limits also lead to variations in number of containers spawned on OpenLambda. We use memory limit settings to propose a model of predictive efficient memory management.","2159-6190","978-1-5386-7235-8","10.1109/CLOUD.2018.00113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457882","Serverless;cloud computing;memory limit;response time","Containers;Memory management;Resource management;Cloud computing;Servers;Predictive models;Time factors","","23","","12","IEEE","11 Sep 2018","","","IEEE","IEEE Conferences"
"Performance Analysis of Apache OpenWhisk Across the Edge-Cloud Continuum","A. Alabbas; A. Kaushal; O. Almurshed; O. Rana; N. Auluck; C. Perera","Cardiff University, United Kingdom; Imam Abdulrahman Bin Faisal University, Saudi Arabia; Cardiff University, United Kingdom; Cardiff University, United Kingdom; Indian Institute of Technology, Ropar, India; Cardiff University, United Kingdom",2023 IEEE 16th International Conference on Cloud Computing (CLOUD),"25 Sep 2023","2023","","","401","407","Serverless computing offers opportunities for auto-scaling, a pay-for-use cost model, quicker deployment and faster updates to support computing services. Apache OpenWhisk is one such open-source, distributed serverless platform that can be used to execute user functions in a stateless manner. We conduct a performance analysis of OpenWhisk on an edge-cloud continuum, using a function chain of video analysis applications. We consider a combination of Raspberry Pi and cloud nodes to deploy OpenWhisk, modifying a number of parameters, such as maximum memory limit and runtime, to investigate application behaviours. The five main factors considered are: cold and warm activation, memory and input size, CPU architecture, runtime packages used, and concurrent invocations. The results have been evaluated using initialization, and execution time, minimum memory requirement, inference time and accuracy.","2159-6190","979-8-3503-0481-7","10.1109/CLOUD60044.2023.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10255019","edge-cloud computing;serverless;function as a service;OpenWhisk;performance evaluation","Cloud computing;Runtime;Costs;Economic indicators;Computational modeling;Memory management;Memory architecture","","8","","32","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"FaaSter Troubleshooting - Evaluating Distributed Tracing Approaches for Serverless Applications","M. C. Borges; S. Werner; A. Kilic","Information Systems Engineering, Technische Universität Berlin, Berlin, Germany; Information Systems Engineering, Technische Universität Berlin, Berlin, Germany; Technische Universität Berlin, Berlin, Germany",2021 IEEE International Conference on Cloud Engineering (IC2E),"22 Nov 2021","2021","","","83","90","Serverless applications can be particularly difficult to troubleshoot, as these applications are often composed of various managed and partly managed services. Faults are often unpredictable and can occur at multiple points, even in simple compositions. Each additional function or service in a serverless composition introduces a new possible fault source and a new layer to obfuscate faults. Currently, serverless platforms offer only limited support for identifying runtime faults. Developers looking to observe their serverless compositions often have to rely on scattered logs and ambiguous error messages to pinpoint root causes. In this paper, we investigate the use of distributed tracing for improving the observability of faults in serverless applications. To this end, we first introduce a model for characterizing fault observability, then provide a prototypical tracing implementation-specifically, a developer-driven and a platform-supported tracing approach. We compare both approaches with our model, measure associated trade-offs (execution latency, resource utilization), and contribute new insights for troubleshooting serverless compositions.","","978-1-6654-4970-0","10.1109/IC2E52221.2021.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9610265","Serverless Computing;FaaS Platforms;Distributed Tracing;Observability","Fault diagnosis;Costs;Runtime;Computational modeling;Conferences;Tools;Resource management","","9","","17","IEEE","22 Nov 2021","","","IEEE","IEEE Conferences"
"QoS-Aware and Cost-Efficient Dynamic Resource Allocation for Serverless ML Workflows","H. Wu; J. Deng; H. Fan; S. Ibrahim; S. Wu; H. Jin","National Engineering Research Center for Big Data Technology and System Services Computing Technology and System Lab, Cluster and Grid Computing Lab School of Computer Science and Technology, Huazhong University of Science and Technology, China; National Engineering Research Center for Big Data Technology and System Services Computing Technology and System Lab, Cluster and Grid Computing Lab School of Computer Science and Technology, Huazhong University of Science and Technology, China; National Engineering Research Center for Big Data Technology and System Services Computing Technology and System Lab, Cluster and Grid Computing Lab School of Computer Science and Technology, Huazhong University of Science and Technology, China; Inria, Univ. Rennes, CNRS, IRISA, France; National Engineering Research Center for Big Data Technology and System Services Computing Technology and System Lab, Cluster and Grid Computing Lab School of Computer Science and Technology, Huazhong University of Science and Technology, China; National Engineering Research Center for Big Data Technology and System Services Computing Technology and System Lab, Cluster and Grid Computing Lab School of Computer Science and Technology, Huazhong University of Science and Technology, China",2023 IEEE International Parallel and Distributed Processing Symposium (IPDPS),"18 Jul 2023","2023","","","886","896","Machine Learning (ML) workflows are increasingly deployed on serverless computing platforms to benefit from their elasticity and fine-grain pricing. Proper resource allocation is crucial to achieve fast and cost-efficient execution of serverless ML workflows (specially for hyperparameter tuning and model training). Unfortunately, existing resource allocation methods are static, treat functions equally, and rely on offline prediction, which limit their efficiency. In this paper, we introduce CE-scaling – a Cost-Efficient autoscaling framework for serverless ML work-flows. During the hyperparameter tuning, CE-scaling partitions resources across stages according to their exact usage to minimize resource waste. Moreover, it incorporates an online prediction method to dynamically adjust resources during model training. We implement and evaluate CE-scaling on AWS Lambda using various ML models. Evaluation results show that compared to state-of-the-art static resource allocation methods, CE-scaling can reduce the job completion time and the monetary cost by up to 63% and 41% for hyperparameter tuning, respectively; and by up to 58% and 38% for model training.","1530-2075","979-8-3503-3766-2","10.1109/IPDPS54959.2023.00093","Research and Development; National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177446","serverless computing;distributed machine learning;resource provisioning","Training;Costs;Computational modeling;Serverless computing;Quality of service;Pricing;Predictive models","","10","","32","IEEE","18 Jul 2023","","","IEEE","IEEE Conferences"
"FaaS and Furious: abstractions and differential caching for efficient data pre-processing","J. Tagliabue; R. Curtin; C. Greco","Bauplan Labs, New York, US; Bauplan Labs, Atlanta, US; Bauplan Labs, New York, US",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","3562","3567","Data pre-processing pipelines are the bread and butter of any successful AI project. We introduce a novel programming model for pipelines in a data lakehouse, allowing users to interact declaratively with assets in object storage. Motivated by real-world industry usage patterns, we exploit these new abstractions with a columnar and differential cache to maximize iteration speed for data scientists, who spent most of their time in pre-processing – adding or removing features, restricting or relaxing time windows, wrangling current or older datasets. We show how the new cache works transparently across programming languages, schemas and time windows, and provide preliminary evidence on its efficiency on standard data workloads.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825377","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825377","faas;data processing;data pipelines;cache;lakehouse","Industries;Computer languages;Dairy products;Pipelines;Programming;Big Data;Data models;Artificial intelligence;Standards","","","","25","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Deadline-aware Dynamic Resource Management in Serverless Computing Environments","A. Mampage; S. Karunasekera; R. Buyya","School of Computing and Information Systems, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne, Australia; School of Computing and Information Systems, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne, Australia; School of Computing and Information Systems, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne, Australia","2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","2 Aug 2021","2021","","","483","492","Serverless computing enables rapid application development and deployment by composing loosely coupled microservices at a scale. This emerging paradigm greatly unburdens the users of cloud environments, from the need to provision and manage the underlying cloud resources. With this shift in responsibility, the cloud provider faces the challenge of providing acceptable performance to the user without compromising on reliability, while having minimal knowledge of the application requirements. Sub-optimal resource allocations, specifically the CPU resources, could result in the violation of performance requirements of applications. Further, the fine-grained serverless billing model only charges for resource usage in terms of function execution time. At the same time, the provider has to maintain the underlying infrastructure in always-on mode to facilitate asynchronous function calls. Thus, achieving optimum utilization of cloud resources without compromising on application requirements is of high importance to the provider. Most of the current works only focus on minimizing function execution times caused by delays in infrastructure set up and reducing resource costs for the end-user. However, in this paper, we focus on both the provider and user’s perspective and propose a function placement policy and a dynamic resource management policy for applications deployed in serverless computing environments. The policies minimize the resource consumption cost for the service provider while meeting the user’s application requirement, i.e., deadline. The proposed solutions are sensitive to deadline and efficiently increase the resource utilization for the provider, while dynamically managing resources to improve function response times. We implement and evaluate our approach through simulation using ContainerCloudSim toolkit. The proposed function placement policy when compared with baseline scheduling techniques can reduce resource consumption by up to three times. The dynamic resource allocation policy when evaluated with a fixed resource allocation policy and a proportional CPU-shares policy shows improvements of up to 25% in meeting the required function deadlines.","","978-1-7281-9586-5","10.1109/CCGrid51090.2021.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499407","serverless computing;function placement;dy-namic resource management;resource efficiency","Cloud computing;Processor scheduling;Meetings;Dynamic scheduling;Delays;Resource management;Time factors","","35","","27","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"HeROfake: Heterogeneous Resources Orchestration in a Serverless Cloud – An Application to Deepfake Detection","V. Lannurien; L. D'Orazio; O. Barais; E. Bernard; O. Weppe; L. Beaulieu; A. Kacete; S. Paquelet; J. Boukhobza",b<>com Institute of Research and Technology; b<>com Institute of Research and Technology; b<>com Institute of Research and Technology; b<>com Institute of Research and Technology; b<>com Institute of Research and Technology; b<>com Institute of Research and Technology; b<>com Institute of Research and Technology; b<>com Institute of Research and Technology; b<>com Institute of Research and Technology,"2023 IEEE/ACM 23rd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","10 Jul 2023","2023","","","154","165","Serverless is a trending service model for cloud computing. It shifts a lot of the complexity from customers to service providers. However, current serverless platforms mostly consider the provider's infrastructure as homogeneous, as well as the users' requests. This limits possibilities for the provider to leverage heterogeneity in their infrastructure to improve function response time and reduce energy consumption. We propose a heterogeneity-aware serverless orchestrator for private clouds that consists of two components: the autoscaler allocates heterogeneous hardware resources (CPUs, GPUs, FPGAs) for function replicas, while the scheduler maps function executions to these replicas. Our objective is to guarantee function response time, while enabling the provider to reduce resource usage and energy consumption. This work considers a case study for a deepfake detection application relying on CNN inference. We devised a simulation environment that implements our model and a baseline Knative orchestrator, and evaluated both policies with regard to consolidation of tasks, energy consumption and SLA penalties. Experimental results show that our platform yields substantial gains for all those metrics, with an average of 35% less energy consumed for function executions while consolidating tasks on less than 40% of the infrastructure's nodes, and more than 60% less SLA violations.","","979-8-3503-0119-9","10.1109/CCGrid57682.2023.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10171518","deepfake;serverless;allocation;scheduling;SLA;energy consumption;heterogeneous resources;workload characterization;GPU;FPGA","Measurement;Cloud computing;Energy consumption;Deepfakes;Computational modeling;Hardware;Complexity theory","","2","","47","IEEE","10 Jul 2023","","","IEEE","IEEE Conferences"
